d_ziqing,淄青
d_zhexi,浙西
d_zhenwu,振武
d_zhenhai,镇海
d_zhenghua,郑滑
d_zhedong,浙东
d_zelu,泽潞
d_zangke,牂牁
d_yunzhong,云中
d_yulou,虞娄
d_youzhou,幽州
d_yongping,永平
d_yongguan,邕管
d_yongchang,永昌
d_yinsheng,银生
d_yingmo,瀛莫
d_yihai,沂海
d_yiding,易定
d_yanmen,雁门
d_xusi,徐泗
d_xuanshe,宣歙
d_xingci,邢磁
d_xijing,西京
d_xichuan,西川
d_xiazhou,夏绥
d_xiangwei,相卫
d_xia,朔方
d_xarmoron,松漠
d_wuxi,五溪
d_weibo,魏博
d_uroghu,乌罗护
d_udege,兀的改
d_tuodong,拓东
d_tonghai,通海
d_tohchen,饶乐
d_tianshi,天师宫
d_teriqan,窴颜
d_taining,泰宁
d_sumo,粟末
d_sila,新罗
d_siber,室韦
d_shuofang,灵武
d_shaanguo,陕虢
d_ryukyu,琉虬
d_rongguan,容管
d_rangnang,乐浪
d_qiongya,琼崖
d_qianzhong,黔中
d_pucao,濮曹
d_poyang,鄱阳
d_pingyi,冯翊
d_ordos,北地
d_onon,烛龙
d_okjeo,沃沮
d_ningjiang,宁江
d_murin,木邻
d_malgal,鄚颉
d_luzhou,泸州
d_luodian,罗殿
d_lulong,卢龙
d_luling,庐陵
d_Luju,龙驹
d_longxi,河渭
d_longnan,陇南
d_llishui,丽水
d_lingnan,岭南
d_liaoxi,辽西
d_liaodong,辽东
d_kucha,龟兹
d_khiyat,金微
d_khingan,兴安
d_karat,贺兰
d_jiuzhen,九真
d_jinshang,金商
d_jingyuan,泾原
d_jingxiang,荆襄
d_jingnan,荆南
d_jiaozhi,交趾
d_jiangxi,江西
d_jianchuan,剑川
d_hunan,湖南
d_huichuan,会川
d_huaixi,淮西
d_huainan,淮南
d_holon,俱伦
d_hiyaxu,桑乾
d_hezhong,河中
d_heyang,河阳
d_hepu,合浦
d_henghai,横海
d_heluo,河洛
d_hejes,定襄
d_heishui,黑水
d_heichi,黑齿
d_hedong,河东
d_haripunchai,骇黎朋猜
d_haramuru,哈拉木伦
d_hanzhong,汉中
d_guiguan,桂管
d_goguryeo,高句丽
d_gewu,哥勿
d_gaya,迦倻
d_fujian,福建
d_fufang,鄜坊
d_fengzhou,天德军
d_fengxiang,凤翔
d_eyue,鄂岳
d_dongya,东濊
d_dongchuan,东川
d_denglai,登莱
d_dali,大理
d_confucius,太常寺
d_chenxu,陈许
d_chenla,真腊
d_chengde,成德
d_chaoshan,潮汕
d_changchun,长春
d_chamthanh,占婆
d_buyeo,扶余
d_bozhou_qian,播州
d_binning,邠宁
d_biansong,汴宋
d_beshbalik,北庭
d_balhae,渤海
d_BakuRiver,鼻骨德
d_baekje,百济
d_ba,武信
d_argun,乌古
