0;0;0;0;x;x;
1;42;3;128;VESTFIRDIR;x;
2;84;6;1;REYKJAVIK;x;
3;126;9;129;STOKKSEYRI;x;
4;168;12;2;REYDARFJALL;x;
5;0;15;130;HUSAVIK;x;
6;168;45;177;TORSHAVN;x;
7;84;21;131;SCALLOWAY;x;
8;126;24;4;KIRKWALL;x;
9;168;27;132;DONEGAL;x;
10;0;30;5;RAPHOE;x;
11;42;33;133;FAHAN;x;
12;84;36;6;DERRY;x;
13;126;39;134;SLEMISH;x;
14;168;42;7;CARRICKFERGUS;x;
15;0;45;135;DOWNPATRICK;x;
16;42;48;8;BALTIMORE;x;
17;84;51;136;ARMAGH;x;
18;126;54;9;DUNDALK;x;
19;168;57;137;ARDEE;x;
20;0;60;10;GALWAY;x;
21;42;63;138;CASTLEBAR;x;
22;84;66;11;SLIGO;x;
23;126;69;139;ATHENRY;x;
24;168;72;12;DROMAHAIR;x;
25;0;75;140;BELCOO;x;
26;42;78;13;LONGFORD;x;
27;126;84;14;CAVAN;x;
28;84;81;141;DUBLIN;x;
29;168;87;142;WICKLOW;x;
30;0;90;15;KILDARE;x;
31;42;93;143;TRIM;x;
32;84;96;16;DROGHEDA;x;
33;126;99;144;BIRR;x;
34;168;102;17;ATHLONE;x;
35;0;105;145;ARDNAMURCHON;x;
36;42;108;18;UISNEACH;x;
37;84;111;146;WEXFORD;x;
38;126;114;19;ENNISCORTHY;x;
39;168;117;147;FERNS;x;
40;0;120;20;CARLOW;x;
41;42;123;148;KILKENNY;x;
42;84;126;21;ATHY;x;
43;126;129;149;GOWRAN;x;
44;168;132;22;CARRICK;x;
45;0;135;150;LIMERICK;x;
46;42;138;23;ENNIS;x;
47;84;141;151;NENAGH;x;
48;126;144;24;ROSCREA;x;
49;168;147;152;WATERFORD;x;
50;0;150;25;EMLY;x;
51;42;153;153;CLONMEL;x;
52;84;156;26;TRALEE;x;
53;126;159;154;CORK;x;
54;168;162;27;KINSALE;x;
55;0;165;155;LINDHOLM;x;
56;42;168;28;VIBORG;x;
57;84;171;156;AARHUS;x;
58;126;174;29;JELLING;x;
59;168;177;157;VORBASSE;x;
60;0;180;30;RIBE;x;
61;42;183;158;AABENRAA;x;
62;84;186;31;HEDEBY;x;
63;126;189;159;ROSKILDE;x;
64;168;192;32;NAESTVED;x;
65;0;195;160;ODENSE;x;
66;42;198;33;SVENDBORG;x;
67;84;201;161;NYKOBING;x;
68;126;204;34;NAKSKOV;x;
69;168;207;162;SLAGELSE;x;
70;0;210;35;LUND;x;
71;42;0;163;TRELLEBORG;x;
72;84;3;36;TOMMERUP;x;
73;126;6;164;HELSINGBORG;x;
74;168;9;37;HALMSTAD;x;
75;0;12;165;ONSALA;x;
76;42;15;38;LAHOLM;x;
77;84;18;166;RONNE;x;
78;126;21;39;BREGNE;x;
79;168;24;167;RONNEBY;x;
80;0;27;40;AVASKAR;x;
81;42;30;168;AALBORG;x;
82;84;33;41;RINGKOBING;x;
83;126;36;169;VARDE;x;
84;168;39;42;HUSUMBRO;x;
85;0;42;170;HAFN;x;
86;42;45;43;GOINGE;x;
87;84;48;171;LISTER;x;
88;126;51;44;ARENSBURG;x;
89;168;54;172;SONEBURG;x;
90;0;57;45;MUHU;x;
91;42;60;173;DAGO;x;
92;84;63;46;HAPSAL;x;
93;126;66;174;LEAL;x;
94;168;69;47;REVAL;x;
95;0;72;175;HARJUMAA;x;
96;42;75;48;JARVA;x;
97;84;78;176;WESENBURG;x;
98;126;81;49;NARVA;x;
99;168;84;177;PARNU;x;
100;0;87;50;VILJANDI;x;
101;42;90;178;LEMISELE;x;
102;84;93;51;VALMIERA;x;
103;126;96;179;KOKENOIS;x;
104;168;99;52;JURMALA;x;
105;0;102;180;BAUSKA;x;
106;42;105;53;DOBELE;x;
107;84;108;181;MITAU;x;
108;126;111;54;RIGA;x;
109;168;114;182;VENDEN;x;
110;0;117;55;PILTENE;x;
111;42;120;183;CEKLIS;x;
112;84;123;56;KANDAVA;x;
113;126;126;184;BANDAVA;x;
114;168;129;57;GROBIN;x;
115;0;132;185;PALANGA;x;
116;42;135;58;DUVZARE;x;
117;84;138;186;DUNDAGA;x;
118;126;141;59;MEMEL;x;
119;168;144;187;TILSIT;x;
120;0;147;60;RAGNIT;x;
121;42;150;188;NEUENBURG;x;
122;84;153;61;LABIAU;x;
123;126;156;189;JURBARKAS;x;
124;168;159;62;RASEINIAI;x;
125;0;162;190;TAURAGE;x;
126;42;165;63;MEDENIKEN;x;
127;84;168;191;SIAULIAI;x;
128;126;171;64;TELSIAI;x;
129;168;174;192;VELIUONA;x;
130;0;177;65;KAUNAS;x;
131;42;180;193;KEDAINIAI;x;
132;84;183;66;UPYTE;x;
133;126;186;194;SELPILS;x;
134;168;189;67;LENNEWARDEN;x;
135;0;192;195;JEKABPILS;x;
136;42;195;68;JERSIKA;x;
137;84;198;196;DAUGAVPILS;x;
138;126;201;69;REZEKNE;x;
139;168;204;197;CESVAINE;x;
140;0;207;70;GULBENE;x;
141;42;210;198;ALUKSNE;x;
142;84;0;71;RAUNA;x;
143;126;3;199;VASTSELIINA;x;
144;168;6;72;VALGA;x;
145;0;9;200;TARTU;x;
146;42;12;73;POLTSAMAA;x;
147;84;15;201;ALISTEGUNDE;x;
148;126;18;74;SALACGRIVA;x;
149;168;21;202;VILKMERGE;x;
150;0;24;75;OKNIST;x;
151;42;27;203;UTENA;x;
152;84;30;76;BIRZAI;x;
153;126;33;204;TRAKAI;x;
154;168;36;77;KERNAVE;x;
155;0;39;205;VILNIUS;x;
156;42;42;78;PANEMUNE;x;
157;84;45;206;SUVALKAI;x;
158;126;48;79;VILKAVISKIS;x;
159;168;51;207;VALKININKAI;x;
160;0;54;80;MERKINE;x;
161;42;57;208;GRODNO;x;
162;84;60;81;ALITEN;x;
163;126;63;209;SEJNY;x;
164;168;66;82;LIDA;x;
165;0;69;210;KREVA;x;
166;42;72;83;BRASLAU;x;
167;84;75;211;YAMA;x;
168;126;78;84;KOPORYE;x;
169;168;81;212;NYEN;x;
170;0;84;85;NOTEBORG;x;
171;42;87;213;RAUTU;x;
172;84;90;86;KAKISALMI;x;
173;126;93;214;KOIVISTO;x;
174;168;96;87;SORTAVALA;x;
175;0;99;215;PORVOO;x;
176;42;102;88;ESPOO;x;
177;84;105;216;RASEBORG;x;
178;126;108;89;RIKALA;x;
179;168;111;217;TURKU;x;
180;0;114;90;RAUMA;x;
181;42;117;218;PARIKKALA;x;
182;84;120;91;VIIPURI;x;
183;126;123;219;LIINMAA;x;
184;168;126;92;TELJA;x;
185;0;129;220;ULVILA;x;
186;42;132;93;PIRKKALA;x;
187;84;135;221;SAVITAIPALE;x;
188;126;138;94;MIKKELI;x;
189;168;141;222;SULKAVA;x;
190;0;144;95;OLAVINLINNA;x;
191;42;147;223;KIDILA;x;
192;84;150;96;SALINIS;x;
193;126;153;224;AUNUS;x;
194;168;156;97;SEESJARVI;x;
195;0;159;225;ONEGABORG;x;
196;42;162;98;SOUTJARVI;x;
197;84;165;226;VEHKALAHTI;x;
198;126;168;99;KONTUPOHJA;x;
199;168;171;227;LIZMAJARVI;x;
200;0;174;0;TOVAJARVI;x;
201;42;177;128;SUOJARVI;x;
202;84;180;1;VATSELANJARVI;x;
203;126;183;129;SUOPARSAARI;x;
204;168;186;2;TOHMAJARVI;x;
205;0;189;130;HAMEENLINNA;x;
206;42;192;3;SOMERO;x;
207;84;195;131;SYSMA;x;
208;126;198;4;LAHTI;x;
209;168;201;132;PAIJALA;x;
210;0;204;5;VUOHIJARVI;x;
211;42;207;133;MESSUKYLA;x;
212;84;210;6;RUOVESI;x;
213;126;0;134;MUSTASAARI;x;
214;168;3;7;MERIKARVIA;x;
215;0;6;135;LEVANLUHTA;x;
216;42;9;8;SUND;x;
217;84;12;136;JOMALA;x;
218;126;15;9;SOMA;x;
219;168;18;137;KEM;x;
220;0;21;10;STRAND;x;
221;42;24;138;HOLSTEBRO;x;
222;84;27;11;ORMSTRUP;x;
223;126;30;139;YCOST;x;
224;168;33;12;RANDROS;x;
225;0;36;140;TARM;x;
226;42;39;13;DJURSLAND;x;
227;84;42;141;TAULOV;x;
228;126;45;14;MIDDELFART;x;
229;168;48;142;BAGAHUS;x;
230;0;51;15;RANIRIKI;x;
231;42;54;143;AUSTFOLD;x;
232;84;57;16;ROMERIKI;x;
233;126;60;144;RINGARIKI;x;
234;168;63;17;OSLOSYSLAR;x;
235;0;66;145;VALDRES;x;
236;42;69;18;HEDMARK;x;
237;84;72;146;NORTHRI GUDBRANDSDALI;x;
238;126;75;19;SUTHRI GUDBRANDSDALI;x;
239;168;78;147;NORTHRI EYSTRIDALI;x;
240;0;81;20;SUTHRI EYSTRIDALI;x;
241;42;84;148;GAULDALA;x;
242;84;87;21;STJORDALA;x;
243;126;138;49;VERDALA;x;
244;168;93;22;INNAN NAMDALFYLKI;x;
245;0;96;150;UTAN NAMDALFYLKI;x;
246;42;99;23;DRAFN;x;
247;84;102;151;NUMEDAL;x;
248;126;105;24;TELEMARK;x;
249;168;108;152;ARENDALL;x;
250;0;111;25;RAABOIGDE;x;
251;42;114;153;LISTER;x;
252;84;117;26;JATHARR;x;
253;126;120;154;RYFYLKI;x;
254;168;123;27;HAUGELAND;x;
255;0;126;155;HARDANGER;x;
256;42;129;28;SUNNHORDALAND;x;
257;84;132;156;MITHRHORDALAND;x;
258;126;135;29;NORTHRIHORDALAND;x;
259;168;138;157;VOSS;x;
260;0;141;30;SOGNFYLKI;x;
261;42;144;158;BREMANGER;x;
262;84;147;31;STOLSHEIMEN;x;
263;126;150;159;FJARLAND;x;
264;168;153;32;DALE;x;
265;0;156;160;FIRDAFYLKI;x;
266;42;159;33;JOLSTER;x;
267;84;162;161;SUNNMORE;x;
268;126;165;34;ROMSDALI;x;
269;168;168;162;NORTHRIMORE;x;
270;0;171;35;STRIND;x;
271;42;174;163;ORKDALA;x;
272;84;177;36;HITRAR;x;
273;126;180;164;EYNAFYLKI;x;
274;168;183;37;TORGAR;x;
275;0;186;165;RODOY;x;
276;42;189;38;SANDNES;x;
277;84;192;166;BODIN;x;
278;126;195;39;VAGAN;x;
279;168;198;167;BJARKOY;x;
280;0;201;40;VESTVAGBORG;x;
281;42;204;168;NORWEGIAN IMPASSABLE 1;x;
282;84;207;41;GRAFTAVALLEN;x;
283;126;210;169;GRONG;x;
284;168;0;42;AARBORTE;x;
